"","year","month","carrier_name","total_delay","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"106",2003,12,"Atlantic Southeast Airlines",2115.19587628866,809,238,744,8,315
"107",2003,12,"Continental Air Lines Inc.",3707.54320987654,585,238,2055,22,808
"108",2003,12,"Delta Air Lines Inc.",5968.30555555556,1493,284,2532,15,1645
"109",2003,12,"ExpressJet Airlines Inc.",3097.36538461538,660,132,1460,13,833
"110",2003,12,"Hawaiian Airlines Inc.",1040.5,752,7,40,6,234
"111",2003,12,"JetBlue Airways",2791.95454545455,588,166,1047,46,946
"112",2003,12,"Northwest Airlines Inc.",3336.35135135135,1173,204,1475,12,473
"113",2003,12,"SkyWest Airlines Inc.",4190.97087378641,1621,696,1187,21,666
"114",2003,12,"Southwest Airlines Co.",8741.3220338983,1891,304,1238,29,5280
"115",2003,12,"United Air Lines Inc.",6790.14814814815,1534,158,2848,0,2251
"116",2003,12,"US Airways Inc.",5168.96610169491,1013,95,2026,0,2035
"117",2004,1,"AirTran Airways Corporation",4460.62162162162,562,40,1900,0,1958
"118",2004,1,"Alaska Airlines Inc.",3484.41304347826,1062,212,635,40,1534
"119",2004,1,"America West Airlines Inc.",3072.6,1221,110,1024,16,702
"120",2004,1,"American Airlines Inc.",10722.4367816092,2549,1129,3798,16,3231
"121",2004,1,"American Eagle Airlines Inc.",5596.34285714286,1160,336,1778,4,2318
"122",2004,1,"ATA Airlines d/b/a ATA",4888.53571428571,920,138,1745,23,2063
"123",2004,1,"Atlantic Coast Airlines",5733.18518518519,1644,676,2016,3,1394
"124",2004,1,"Atlantic Southeast Airlines",1798.4,594,386,641,3,175
"125",2004,1,"Comair Inc.",3288.68965517241,1405,1060,717,3,103
"126",2004,1,"Continental Air Lines Inc.",2624.53846153846,540,91,1485,6,503
"127",2004,1,"Delta Air Lines Inc.",4714.88785046729,1158,206,2215,11,1124
"128",2004,1,"ExpressJet Airlines Inc.",2572.71844660194,537,123,1180,3,729
"129",2004,1,"Hawaiian Airlines Inc.",1135.0625,656,34,38,5,403
"130",2004,1,"JetBlue Airways",2497.27272727273,744,19,801,53,880
"131",2004,1,"Northwest Airlines Inc.",3962.59459459459,1358,226,1699,15,664
"132",2004,1,"SkyWest Airlines Inc.",3706.83018867925,1549,519,992,22,625
"133",2004,1,"Southwest Airlines Co.",8275.74576271186,1785,401,1387,38,4665
"134",2004,1,"United Air Lines Inc.",8545.82926829268,1732,183,3717,0,2914
